Video_Name,Tech,Upload_time,Day,Q_and_A,has_captions,Views,Shares,Comments,Likes,Hashtags,Cover,Length,avg_watch,Location,Humor,Hat
ResuCan,0,4,7,0,0,561,0,2,52,"Resume, resumetips,resumehelp, resumewriter, fop",0,58,7,1,0,0
ResuCan.com,0,20,2,0,0,533,0,2,80,"Resume, resumetips, resumehelp, resumewriter, fyp",0,40,7,1,0,2
ResuCan,0,17,5,0,0,519,1,1,78,"resume, resumetips, resumehelp",0,39,8,1,0,1
Use Resucan,0,23,1,0,0,547,1,2,10,"Resume, resumetips, resumehelp, internshiptips, interview",0,14,5,2,0,1
ResuCan.com,0,23,3,0,0,189,0,0,5,"Resumewriter, resumereview, resumebuilder, intership, interview",0,22,6,2,0,1
Resume Not Getting views,0,18,6,0,0,189,0,0,0,"Resume, resumetips, resumehelp, internshiptips, interview",0,22,7,2,0,1
Tech setup ,1,2,2,0,0,208,0,0,16,"Mechanicalkeyboard, keyboard, monitorsetup,",0,45,13,3,0,3
Home Office,1,2,2,0,0,190,0,0,2,"Homeoffice, workfromhome, standupdesk, balanceboard",0,40,10,3,0,3
Learned from reading,0,18,2,0,0,198,0,0,3,"LearnedFromReading, WordIdidntKnow, fyp, newwordoftheday, newword",0,12,6,,0,2
ResuCan,0,19,3,0,0,183,1,0,6,"Resumetips,resume,resumehelp,resucan,fyp",0,8,5,1,1,1
ResuCan,0,4,4,0,0,176,0,0,11,"Resume, resumetips, interview, internship, resucan, fyp, free",0,58,8,3,0,0
Home office,0,4,4,0,0,1300,0,2,12,"Wfh, homeoffice,tech, softwareengineer,softwaredeveloper,resucan",0,9,9,3,1,0
Never going back,0,20,5,0,0,214,0,1,9,"Homeoffice,office,fyp,rescue",0,11,10,3,1,0
How to make NFT,1,21,1,0,0,202,1,0,13,"NFT, nftartwork, resucan, crypto",0,59,6,3,0,0
Animal Crossing ,0,22,1,0,0,192,0,0,3,"Animalcrossing, animalcrossingnewhorizons, acnh",0,14,7,1,0,0
Art work,0,21,2,0,0,177,0,0,6,"Houstonartist, Houstonart,htown, office, wfh",1,29,11,3,0,0
FHA Loan,0,21,2,0,0,197,0,1,12,"Houston, texan, FHA, DPA, firsttimehomebuyer, texas, fypchallenge",1,58,12,3,0,1
House Paint,0,22,2,0,0,171,0,0,0,"Firsttimehomebuyer,house,houston,texas",0,44,20,5,0,0
ResuCan,0,19,3,0,0,175,1,0,9,"Resume, resumetips, resumetips101, resumehelp, interview, resucan",0,22,6,1,0,0
Get a degree,1,19,3,0,0,207,0,1,16,"Software,softwareengineer, programming, softwareengineering",1,55,15,1,0,1
Get Involved,0,19,3,0,0,175,0,0,9,"collegeTips, networking, careeradvice, professional",1,44,11,1,0,1
Software Engineering?,1,15,4,1,0,197,0,2,5,None,0,57,12,1,0,1
Example of Software Engineering,1,16,4,0,1,1800,9,5,231,"Softwareengineer, softwaredeveloper, softwareengineering, resucan",1,57,25,1,0,1
How I went to college,0,16,4,0,1,281,1,1,24,"Collegeadvice, scholarship, fullride, Terry,",1,58,25,1,0,1
Lamp,0,17,5,0,0,212,0,0,18,"Security,AWS,devsecops,devopsengineer,devops,",1,31,11,3,0,3
What Scholarships look for,0,18,5,0,1,245,0,2,16,"Scholarship,fullridescholarship,fullride,resucan,terry,terryscholar",1,58,14,5,0,1
What Language?,1,18,6,0,1,234,0,3,25,"Softwareengineer, softwaredeveloper, softwareengineering, resucan, resucan",1,56,20,1,0,1
House foundation,0,18,6,0,1,2200,1,1,33,"Firsttimehomebuyer,house,houston,texas",1,21,18,5,0,1
Data Analytics internship,1,18,6,0,1,11000,95,48,953,"SoftwareEngineer,softwareDeveloper,data,Datanalytics,datascence,MachineLearning,python,resucan",1,55,18,1,0,1
What is DevOps,1,16,7,0,1,2200,7,1,108,"Sofwareengineer,softwaredeveloper,softwareengineering,devops,devopsengineer,resucan",1,55,20,1,0,1
Recommendations for DevOps,1,16,7,0,1,652,5,3,52,"DevOps,devopsengineer,softwareengineer,softwaredeveloper,softwareengieneering,resucan",1,57,16,3,0,1
Can you do analytics as an economics major?,1,16,7,0,1,271,2,3,21,"Dataanalytics,dataengineer,datascience,softwareengineer,software,software developer,softwareengineering,resucan",1,55,14,1,,1
Recommended data courses,1,20,7,0,1,1500,16,4,118,"DataAnalytics, Dataanalyst, data analytics,dataanayst,dataanalysis,datascience,udemy,aws,kaggle,coursera",1,56,15,3,0,1
Difference between data science and data analytics?,1,21,7,0,1,440,1,1,42,"DataAnalytics,dataAnalyst, dataScience, resucan, softwareengineer, softwareengineering",1,56,20,1,0,1
First Data Analytics HW,1,1,1,0,0,237,2,1,15,"DataAnalytics, Dataanalyst, jupyternotebook, anaconda,datascience",1,58,13,3,0,1
Strong math for ML?,1,1,1,0,1,244,0,1,24,"DataAnalyst, DataAnalytics,DataScience, Software, Softwarengineer, SoftwareEngineering, Python",1,53,15,1,0,1
Degree in data analytics?,1,17,1,0,1,233,0,1,23,"SoftwareEngineer, SoftwareEngineering,DataAnalytics,DataAnalyst,DataAnalysis,DevOps,Resucan",1,55,20,1,0,1
Trilogy?,0,17,1,0,1,158,0,1,4,"SoftwareEngineer,DataAnalytics, ResuCan",1,58,13,1,0,
Six Figures?,0,17,1,0,1,356,0,2,49,"SoftwareEngineer, SoftwareEngineering, DataAnalytics, DataAnalyst, Resucan",1,58,30,1,0,1
Reply for Six Figures,0,17,2,1,0,204,0,4,16,None,0,42,13,2,0,1
Reply WLB,0,17,2,1,0,200,0,0,13,None,0,52,10,2,0,1
Strong Opinion,1,17,2,0,1,4200,,67,922,"SoftwareEngineer, SoftwareEngineering,DataAnalytics,CyberSecurity",1,55,30,2,0,1
Favorite Series,0,18,2,0,1,213,0,0,15,"Scifi, threebodyproblem",1,56,8,2,0,3
MoonCats,1,21,2,0,0,205,0,0,9,"MoonCats, moonrats",1,14,6,5,0,1
Reply _laura_sa,0,18,3,1,0,284,1,1,27,None,0,56,19,5,0,1
Reply richreddy,1,18,3,1,0,208,1,3,21,None,0,52,14,5,0,1
Reply lily_bored7,0,18,3,1,0,194,0,1,11,None,0,46,11,5,0,1
Response to Stan money,,18,3,0,1,242,0,9,47,"College,debt,roi,investment",1,56,24,5,0,1
Duet with Machine learning,1,15,4,0,0,56,2,1,8,"DataAnalytics, DataScience,MachineLearning, Resucan,",0,24,13,1,0,1
Reply wayofthelaos,1,15,4,1,0,170,0,1,11,"Compliance, Security, Resucan",0,46,13,1,0,1
Sharing Big difference tip,1,17,4,0,0,235,0,3,25,"SoftwareEngineer, dataanalyst, college",1,56,15,1,0,1
Bootcamp Y/n,1,5,16,0,1,177,1,4,13,"SoftwareEngineer, DataAnalyst, Resucan",1,49,15,1,0,1
Big tip blog,0,5,16,0,1,394,3,2,55,"SoftwareEngineer, DataAnalytics,Resucan",1,56,24,1,0,1
Skill that’s valuable,0,5,16,0,1,221,0,2,22,"SoftwareEngineering,DataAnalytics,Resucan",1,55,16,1,0,1
Reply amir,0,17,6,0,1,199,2,0,11,"Python, DataAnalytics",1,42,16,1,0,1
Portfolio Advice,1,19,6,0,1,233,2,2,34,"Portfolio, SoftwareEngineer",1,56,19,1,0,1
Get back to work,0,17,6,0,0,90,0,2,7,"SoftwareEngineer, DataAnalytics",0,3,5,1,0,1
Tutorial set up netlify blog,1,14,1,0,1,38,1,0,3,"SoftwareEngineer, Blog",1,53,15,1,0,1
FAANG Job,1,14,1,0,1,3600,18,16,383,"#softwareEngineer, #DataAnalytics, #College",1,53,24,1,0,1
Reply jimmy.dai,0,21,3,1,0,214,0,1,10,None,0,12,7,5,0,0
Yard Video,0,21,3,0,0,224,0,0,5,"Lawncare, lawn, firsttimehomebuyer",0,7,6,5,0,0
Reply MathewsJoyys,1,21,3,1,0,222,0,2,12,"LinkedIn,networking,softwareengineer",0,13,9,5,0,0
